Tipo documento;Nacionalidad;GÈnero;Fecha nacimiento;PaÌs residencia;Municipio residencia;Estrato vivienda;Personas hogar;Tiene internet;Tiene computador;Colegio gÈnero;Calendario;Colegio ·rea;Jornada;Lectura crÌtica;DesempeÒo lectura critica;Matem·ticas;DesempeÒo matem·ticas;Ciencias naturales;DesempeÒo naturales;Ciencias sociales;DesempeÒo sociales;Ingles;DesempeÒo ingles;Puntaje global;Percentil global
CC;COLOMBIA;M;28/10/1998;COLOMBIA;CALI;Estrato 1;1 a 2;Si;-;MIXTO;B;URBANO;SABATINA;48;2;53;3;44;2;43;2;39;A-;232;23
CC;COLOMBIA;F;9/11/1999;COLOMBIA;BOGOT¡Å D.C.;Estrato 5;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;69;4;64;3;61;3;54;2;83;B+;318;63
TI;COLOMBIA;M;4/05/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 3;3 a 4;Si;Si;MIXTO;A;URBANO;NOCHE;55;3;37;2;52;2;54;2;50;A1;248;30
TI;COLOMBIA;F;13/03/2001;COLOMBIA;CALI;Sin Estrato;5 a 6;Sin respuesta;Si;MIXTO;B;URBANO;MA—ANA;53;3;43;2;56;3;49;2;72;B1;260;35
TI;COLOMBIA;F;6/12/1999;COLOMBIA;BOGOT¡Å D.C.;Estrato 3;3 a 4;Si;Si;MIXTO;A;URBANO;NOCHE;53;3;46;2;40;1;54;2;27;A-;233;23
TI;COLOMBIA;M;8/07/2001;COLOMBIA;CALI;Estrato 6;3 a 4;Si;Si;MASCULINO;B;URBANO;COMPLETA;76;4;80;4;79;4;79;4;82;B+;394;98
CC;COLOMBIA;M;18/09/1996;COLOMBIA;CALI;Estrato 3;3 a 4;No;Si;MIXTO;B;URBANO;NOCHE;34;1;31;1;41;2;30;1;36;A-;171;3
TI;COLOMBIA;M;15/05/2000;COLOMBIA;FLORIDABLANCA;Estrato 3;3 a 4;No;Si;MIXTO;A;URBANO;NOCHE;60;3;45;2;55;2;53;2;55;A1;267;39
TI;COLOMBIA;F;16/03/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;63;3;58;3;62;3;67;3;77;B1;318;63
CC;COLOMBIA;M;4/02/1999;COLOMBIA;PALMIRA;Estrato 2;3 a 4;Si;Si;MIXTO;OTRO;URBANO;TARDE;42;2;33;1;41;2;40;1;38;A-;195;9
TI;COLOMBIA;F;6/04/2001;COLOMBIA;CALI;Sin Estrato;1 a 2;Sin respuesta;Si;MIXTO;B;URBANO;MA—ANA;47;2;53;3;53;2;55;2;65;A2;265;38
TI;COLOMBIA;F;17/09/2000;COLOMBIA;POPAY¡N;Estrato 4;1 a 2;Si;Si;MIXTO;B;URBANO;MA—ANA;54;3;45;2;45;2;47;2;56;A1;242;28
TI;COLOMBIA;M;3/04/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;66;4;59;3;65;3;54;2;71;B1;309;58
CC;COLOMBIA;F;27/09/1999;COLOMBIA;IPIALES;Estrato 1;9 o m·s;Si;Si;MIXTO;A;URBANO;TARDE;33;1;40;2;37;1;33;1;38;A-;180;5
TI;COLOMBIA;M;25/08/2000;COLOMBIA;SOACHA;Sin Estrato;7 a 8;Si;Si;MIXTO;A;URBANO;NOCHE;52;3;56;3;53;2;51;2;46;A-;262;37
TI;COLOMBIA;F;14/03/2001;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;FEMENINO;B;URBANO;MA—ANA;61;3;66;3;62;3;64;3;59;A2;315;61
TI;COLOMBIA;F;4/03/2001;COLOMBIA;JAMUNDÕ;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;69;4;68;3;78;4;77;4;74;B1;365;89
TI;COLOMBIA;F;28/04/2001;COLOMBIA;CALI;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;52;3;40;2;47;2;43;2;46;A-;228;21
TI;COLOMBIA;M;12/10/2001;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;55;3;50;2;56;3;59;3;52;A1;274;42
TI;COLOMBIA;F;16/07/2000;COLOMBIA;PALMIRA;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;46;2;48;2;41;2;43;2;54;A1;226;21
CC;COLOMBIA;M;11/02/1999;COLOMBIA;CAICEDONIA;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;65;3;59;3;57;3;44;2;60;A2;283;46
TI;COLOMBIA;F;6/03/2001;COLOMBIA;CALI;Sin Estrato;3 a 4;Sin respuesta;Si;MIXTO;B;URBANO;MA—ANA;45;2;45;2;34;1;45;2;59;A2;218;17
